SOURCE_DRUG	UNIPROT	P_SCORE	DIRECTIONALITY	PUBCHEM_ID	DRUGBANK_ID	DRUGBANK_GROUP	ATCCODES
Timolol	PRIO_HUMAN	20.49070688	Stimulatory	CID33624	DB00373	approved	S01ED01|C07AA06
Daunorubicin	SPRE_HUMAN	-3.2684089	Inhibitory	CID30323	DB00694	approved	L01DB02
Rotenone	SYUA_HUMAN	31.61077091	Stimulatory	CID6758			
Pioglitazone	KCNG4_HUMAN	-2.65221677	Inhibitory	CID4829	DB01132	approved|investigational	A10BG03
H-7	CLIP1_HUMAN	-5.39400373	Inhibitory	CID3542			
3-Nitropropionic acid	FRDA_HUMAN	7.45541338	Stimulatory	CID1678			
Valdecoxib	CP2CJ_HUMAN	-16.20168249	Inhibitory	CID119607	DB00580	investigational|withdrawn	M01AH03
Orlistat	SKIV2_HUMAN	8.92680917	Stimulatory	CID3034010	DB01083	approved|investigational	A08AB01
Dinoprostone	PPBT_HUMAN	1.30495172	Stimulatory	CID5280360	DB00917	approved	G02AD02
6-BROMOINDIRUBIN-3'-OXIME	SP7_HUMAN	5.61974436	Stimulatory	CID5287844	DB03444	experimental	
16,16-Dimethylprostaglandin E2	GLUC_HUMAN	-8.24543631	Inhibitory	CID6434251			
SC-560	SOS1_HUMAN	39.66208889	Stimulatory	CID4306515			
H-89	FOS_HUMAN	36.11064078	Stimulatory	CID449241	DB07995	experimental	
SB-202190	MMP13_HUMAN	-17.93102834	Inhibitory	CID5353940			
Carmustine	LRIT1_HUMAN	-0.95616384	Inhibitory	CID2578	DB00262	approved	L01AD01
AH-23848	KNG1_HUMAN	-13.41473568	Inhibitory	CID5310999			
NS-398	PERE_HUMAN	-6.55145378	Inhibitory	CID4553			
SB-203580	S10A1_HUMAN	-17.861004	Inhibitory	CID176155			
Scriptaid	LRRN1_HUMAN	-1.352	Inhibitory	CID5186			
Lomustine	CP3A4_HUMAN	-7.52023445	Inhibitory	CID3950	DB01206	approved	L01AD02
Alsterpaullone	CDK4_HUMAN	-62.72893856	Inhibitory	CID5005498	DB04014	experimental	
Thapsigargin	NOS3_HUMAN	-13.41091252	Inhibitory	CID446378			
MS-275	HDAC3_HUMAN	-53.01815026	Inhibitory	CID4261			
Suramin sodium	ELN_HUMAN	-10.45069227	Inhibitory	CID5361	DB04786	approved	P01CX02
Irinotecan	HAP1_HUMAN	-44.39185325	Inhibitory	CID60838	DB00762	approved|investigational	L01XX19
Vinblastine	GTR11_HUMAN	2.31222903	Stimulatory	CID13342	DB00570	approved	L01CA01
